id,composition,energyperatom,volume,num_sites
icsd_052831,Cd1Sb1,-2.55483,455.33242,16
icsd_052832,Cd6Sb5,-2.32056,635.68398,22
icsd_052833,Cd1Se1,-2.67836,42.50787,2
icsd_052942,Co1Cr2S4,-5.94037,244.26935,14
icsd_052954,Co1Fe2Ge1,-5.40609,48.14996,4
icsd_052961,Co1Ga2S4,-4.56347,143.43595,7
icsd_052963,Co1Ge1,-4.74674,99.7037,8
icsd_052964,Co1Ge2,-4.68752,173.53976,12
icsd_052980,Co4Ge1Nb9,-6.28585,441.89126,28
icsd_052994,Co2Ge1Zn1,-3.85949,47.27981,4
icsd_053002,Co2Mn1Sb1,-5.33366,51.78986,4
icsd_053006,Co1Mn1Si1,-5.96042,74.40402,6
icsd_053007,Co2Mn1Si1,-5.85993,45.33037,4
icsd_053016,Co1Nb3S6,-6.1259,340.21306,20
icsd_053017,Co2Nb3Si1,-6.29142,350.85581,24
icsd_053018,Co3Nb2Si1,-5.92484,154.45018,12
icsd_053035,Hf1P1Ru1,-7.49757,133.71099,9
icsd_053036,Hf1Rh1Sb1,-5.86929,60.68427,3
icsd_053039,Hf3Sb1,-7.46861,352.87771,16
icsd_053058,Co1O1,-5.82911,19.21589,2
icsd_053060,Co1P1Se1,-4.93568,351.1154,24
icsd_053068,Co1S2,-4.7063,169.29593,12
icsd_053070,Co1Sb1Ti1,-5.31875,53.43498,3
icsd_053071,Co1Sb1V1,-5.22008,48.82848,3
icsd_053081,Co2Si1Ti1,-5.75694,47.35398,4
icsd_053086,Co2Si1V1,-5.67932,45.30635,4
icsd_053093,In1Li1S2,-4.16386,358.92083,16
icsd_053096,In2Mg1S4,-4.17189,305.14583,14
icsd_053102,In1Nb1Se2,-4.88693,95.55393,4
icsd_053108,Cr4Cu1Fe1S8,-5.81613,242.64826,14
icsd_053111,Cr2Cu1S4,-5.46658,236.30786,14
icsd_053124,Cr2Ga1N1,-6.73689,91.79268,8
icsd_053125,Cr3Ga1N1,-6.93377,58.23061,5
icsd_053129,Cr2Hg1S4,-5.19464,268.04243,14
icsd_053132,Cr3Ir1N1,-7.45079,56.75592,5
icsd_053133,Cr2Mn1S4,-6.42386,258.34108,14
icsd_053141,Cr3N1Pd1,-6.99882,58.81848,5
icsd_053142,Cr3N1Pt1,-7.22054,58.36592,5
icsd_053143,Cr3N1Rh1,-7.17487,57.24468,5
icsd_053145,Cr3N1Sn1,-7.12693,62.76009,5
icsd_053146,Cr1N1,-8.41427,17.62448,2
icsd_053189,Cr1Nb1P1,-7.14954,164.8216,12
icsd_053191,Cr1Nb4Se8,-5.70949,518.88065,26
icsd_053197,Cr3Ni2Si1,-5.82711,299.44258,24
icsd_053198,Cr6Ni16Si7,-5.28275,341.90775,29
icsd_053218,Cr3Si1,-6.89797,94.56951,8
icsd_053227,Cr2Si2Y1,-6.70555,81.51349,5
icsd_053237,Cs1K2Sb1,-2.18599,159.8475,4
icsd_053243,Cs3Sb1,-2.00765,193.40516,4
icsd_053267,Ba2Na1Nb5O15,-7.74207,616.84112,46
icsd_053283,Cu1Ge1Ti1,-4.47996,174.38423,12
icsd_053286,Cu4Ge2Zr3,-4.56488,143.27511,9
icsd_053287,Cu2Hf1P2,-5.23088,76.99277,5
icsd_053298,Cu1K2Sb1,-2.43346,259.37048,8
icsd_053300,Cu1Li2Sb1,-2.92062,61.56402,4
icsd_053304,Cu3Mg2Si1,-2.62482,170.7066,12
icsd_053306,Cu1Mn3N1,-6.211,59.04564,5
icsd_053312,Cu2Mn1Sb1,-3.75095,56.63369,4
icsd_053320,Cu1Ni2Sb1,-3.53864,50.30751,4
icsd_053323,Cu1P1Sr1,-3.87123,126.17699,6
icsd_053328,Cu1S2,-3.50769,194.20513,12
icsd_053331,Cu9S5,-3.00082,212.81446,14
icsd_053332,Cu3S3Sb1,-3.44019,536.87091,28
icsd_053336,Cu1S4Ti2,-5.44882,249.55027,14
icsd_053337,Cu3Sb1,-2.4434,54.0,4
icsd_053339,Cu1Sb1Sr1,-3.33744,155.87749,6
icsd_053352,Cu1Si2Zr1,-5.35425,125.21576,8
icsd_053458,Fe1Ge1,-4.84291,112.18044,8
icsd_053462,Fe3Ge1,-5.65044,47.52734,4
icsd_053502,Fe4N1,-6.55524,54.65568,5
icsd_053505,Fe1N1Ni1,-6.08945,29.73705,3
icsd_053506,Fe3N1Pd1,-6.08529,57.78107,5
icsd_053525,Fe1Ru2Si1,-6.31295,50.4364,4
icsd_053528,Fe1S1,-5.70119,60.35854,4
icsd_053529,Fe1S2,-5.21599,159.04389,12
icsd_053533,Fe1S6Ti3,-5.98855,350.00695,20
icsd_053537,Fe1Sb1Ti1,-5.54334,52.8473,3
icsd_053539,Fe1Sb1V1,-5.59615,49.43692,3
icsd_053556,Fe2Si2Y1,-6.19317,76.21734,5
icsd_053558,Fe3Si1Zr2,-6.44596,174.81492,12
icsd_053575,Ga2Hg1Te4,-3.00249,217.7688,7
icsd_053579,Ga1K2Sb2,-3.12092,1428.79766,40
icsd_053580,Ga1Mo4S8Si1,-5.56947,230.29183,14
icsd_053591,C3S8,-5.27983,461.64178,22
icsd_053650,Ge1In1Li1,-3.29878,62.6309,3
icsd_053655,Ge4Ir1,-5.04937,260.38486,15
icsd_053671,Ge1Li1Mg2,-2.55796,65.59746,4
icsd_053673,Ge1Li1Ni2,-3.85297,45.66758,4
icsd_053677,Ge1Li2Zn1,-2.66351,57.92545,4
icsd_053678,Ge1Li2Zn1,-2.75167,266.92992,16
icsd_053680,Ge7Mg6Ni16,-3.86094,383.40159,29
icsd_053687,Ge1Mn1Ni2,-5.09183,46.29825,4
icsd_053706,Ge1Mn1Rh2,-5.72327,55.19673,4
icsd_053743,Ge1Ni2,-4.31778,142.24939,12
icsd_053749,Ge12Ni19,-4.37446,392.38528,31
icsd_053822,Br1Na1,-3.05721,52.92718,2
icsd_053827,I1K1,-2.80794,89.47775,2
icsd_053828,F1Rb1,-4.08934,44.85154,2
icsd_053830,Br1Rb1,-3.07013,83.20314,2
icsd_053842,Br1K1,-3.13485,71.77603,2
icsd_053843,I1K1,-2.80794,88.12357,2
icsd_053857,Ge4Ni4Sc3,-5.10656,166.44207,11
icsd_053862,Ge1Ni1Ti1,-5.27618,167.21313,12
icsd_053865,Ge1Ni2Zn1,-3.57715,47.27981,4
icsd_053874,Ge1P1,-4.7457,43.45863,2
icsd_053879,Ge1Pd2,-4.02894,132.96401,9
icsd_053890,Ge1Rh1,-5.02673,114.93303,8
icsd_053905,Ge3Sc5,-5.73416,321.11536,16
icsd_053906,Ge1Se1,-4.26674,47.03313,2
icsd_053938,As1Co1S1,-4.88513,174.67688,12
icsd_053944,Be1Se1,-4.41546,33.35821,2
icsd_053945,Be1Te1,-3.80227,42.9699,2
icsd_053946,Mg1Se1,-3.7536,40.75995,2
icsd_053956,Sn1Te1,-3.60725,62.0663,2
icsd_053959,Co1Se1,-4.45155,59.03015,4
icsd_053960,Co1Te1,-3.99881,70.6194,4
icsd_053967,Bi1Tl1,-3.06408,63.5212,2
icsd_053968,Sb1Sn1,-3.87636,57.92545,2
icsd_053971,Fe1Sb1,-5.06207,73.62785,4
icsd_054008,Ni2P1Si1,-5.01748,402.3979,32
icsd_054011,B3Ge2Ni8,-4.85484,266.669,26
icsd_054015,K10Mg1Mo7O27,-6.50928,1532.50988,90
icsd_054016,K10Mn1Mo7O27,-6.59527,1547.61416,90
icsd_054020,K4Mn1Mo4O15,-6.86585,760.23141,48
icsd_054023,Cu2Mo3O12Rb2,-6.34441,1301.71951,76
icsd_054028,Cl2O1Si1,-5.33408,366.02103,16
icsd_054058,Nb5O17Sr5,-7.64696,735.7006,54
icsd_054066,Al2Cl8Cu1,-3.47336,592.84692,22
icsd_054072,I4Nb4Te17,-3.83953,1683.03816,50
icsd_054078,O6Sn1Ta2,-8.40427,231.26857,18
icsd_054086,I2O6Zn1,-4.36525,265.02695,18
icsd_054097,As2Te3,-3.76058,284.71722,10
icsd_054098,O8P2Rb1Ta1,-7.54686,188.76448,12
icsd_054102,Ag4K2Se3,-2.30878,444.50047,18
icsd_054104,C1B2Sc1,-7.44856,299.16672,32
icsd_054107,Cr4Sc2Si5,-6.38649,301.855,22
icsd_054119,Al1F4Rb1,-5.39108,84.40938,6
icsd_054122,Al1F4Rb1,-5.39171,327.06861,24
icsd_054136,Br3Cr1In1,-3.88656,578.12808,20
icsd_054138,Br3Ca1In1,-3.43867,326.23232,10
icsd_054140,Mn1P1Se3,-4.62432,235.47583,10
icsd_054155,Ca2O8Se3,-5.80339,389.00216,26
icsd_054156,Ba1O3Se1,-5.94784,172.82595,10
icsd_054157,Ba1O5Se2,-5.68108,520.31468,32
icsd_054159,As2F12N2S3,-4.66614,561.23488,38
icsd_054164,Bi1O4P1,-6.7992,160.08779,12
icsd_054168,K3Na1O8Se2,-5.03976,224.26957,14
icsd_054187,C2Ca1,-6.76958,97.65525,6
icsd_054244,Li2Na1Sb1,-2.88646,78.53866,4
icsd_054248,La1P1Pd1,-5.44558,124.82585,6
icsd_054261,K1Na4Sb3Sn1,-2.91286,1135.22885,36
icsd_054262,K2Mo3Se18,-4.1991,1233.56346,46
icsd_054264,Mn2S4Si1,-6.05851,559.65982,28
icsd_054281,Na2Se1,-3.10846,79.47819,3
icsd_054297,Ni3S2,-4.25907,65.49059,5
icsd_054303,Ni2Sn1Zr2,-5.45663,170.47555,10
icsd_054315,Pb1Pd1Y1,-4.75637,198.76474,9
icsd_054316,Pb2Pt1,-3.84946,138.56759,6
icsd_054319,Pb1Sr1Zn1,-2.60379,171.80097,6
icsd_054340,Pt7Sb1,-3.77918,125.52019,8
icsd_054348,Ni2Sc2Sn1,-4.89221,170.0404,10
icsd_054354,Ru4Sn6Y1,-5.12573,228.92194,11
