id,reduced_comp,in_icsd,num_atoms,relaxed_volume,predicted_energy,vol_energyperatom,full_energyperatom,predicted_decomp,decomp_energy,sc_decomp_energy
K1Sc1F1Br3_icsd_010470_3,KScBr3F,False,12,404.35,-4.288,-4.3062,-4.4,-0.831,-0.9432,0.0284
Li2Y1La1Br8_icsd_161847_1,Li2LaYBr8,False,24,842.05,-3.9392,-3.92,-4.03,-0.5944,-0.6852,0.0285
Na2Sc2F7I1_icsd_079478_1,Na2Sc2IF7,False,24,472.29,-5.395,-5.3778,-5.578,-0.907,-1.0902,0.0285
K6Zr2S7_icsd_300236_1,K6Zr2S7,False,30,987.07,-4.6435,-4.6505,-4.658,-0.1196,-0.1341,0.0286
Na3Al2Br8I1_icsd_412221_1,Na3Al2IBr8,False,28,1092.06,-3.0799,-3.0937,-3.153,-0.5687,-0.6418,0.0286
Na1Sc1B1F7_icsd_201526_1,NaScBF7,False,40,587.6,-5.5414,-5.5094,-5.903,-0.8416,-1.2032,0.0286
Na1Sc1B1I7_icsd_408562_5,NaScBI7,False,20,930.11,-2.8468,-2.7897,-3.129,-0.1305,-0.4127,0.0287
K1Hg1F3_Na1Sb1O3_sg55_icsd_150698_2_1,KHgF3,True,40,737.54,-3.4657,-3.3958,-3.397,-0.1089,-0.0402,0.0287
K1Hf1Cd1Br6I1_icsd_159097_20,KHfCdIBr6,False,20,809.0,-3.208,-3.1423,-3.432,-0.398,-0.6216,0.029
K3Y1B1Br9_icsd_039809_2,K3YBBr9,False,28,1089.36,-3.572,-3.4649,-3.612,-0.2633,-0.3033,0.029
K1Zn1Al2Br9_icsd_281502_1,KAl2ZnBr9,False,26,1073.61,-2.8769,-2.8454,-3.068,-0.6136,-0.8047,0.0292
Na2Sc1Y1I8_icsd_161847_1,Na2YScI8,False,24,1007.45,-3.177,-3.1973,-3.422,-0.2017,-0.4466,0.0297
Li3Sc1Br4I2_icsd_015203_1,Li3Sc(IBr2)2,False,40,1165.88,-3.367,-3.3492,-3.526,-0.271,-0.4299,0.0298
Li3Y2Cl1Br8_icsd_412221_1,Li3Y2Br8Cl,False,28,987.66,-3.583,-3.5832,-4.027,-0.526,-0.9692,0.0299
Li1Y1F1Br3_icsd_186409_1,LiYBr3F,False,12,343.18,-4.412,-4.3645,-4.622,-0.702,-0.912,0.0299
Li1Y1La1Br7_icsd_408563_1,LiLaYBr7,False,20,760.81,-4.0566,-4.0369,-4.166,-0.7059,-0.8153,0.0302
