reduced_comp,id,energyperatom,decomp_energy,oxidation,reduction,stability_window,cond_ion_vol
LiSc2I7,Li1Sc2I7_icsd_074876_1,-3.405,-0.4382,5.0,2.6953,2.3047,0.0524033279852966
NaSc2I7,Na1Sc2I7_icsd_067168_1,-3.446,-0.5374,5.0,1.3507,3.6493,0.1201124279706058
KAl2Br7,K1Al2Br7_icsd_000012_1,-3.298,-0.523,5.0,2.6667,2.3333,0.1053728496623283
KSc2Br7,K1Sc2Br7_icsd_067168_1,-4.026,-0.7766,5.0,1.7293,3.2707,0.1271621697019816
KSc2I7,K1Sc2I7_icsd_067168_1,-3.492,-0.5504,5.0,1.7373,3.2627,0.1257712936618314
LiSc2F7,Li1Sc2F7_icsd_016350_1,-6.302,-1.7931,5.0,0.7064,4.2936,0.1099854275834762
KY2Br7,K1Y2Br7_icsd_201429_1,-4.252,-0.8412,5.0,1.402,3.598,0.1158250417096531
NaSc2F7,Na1Sc2F7_icsd_047227_1,-6.184,-1.758,5.0,0.88,4.12,0.1356836302963447
NaAl2Br7,Na1Al2Br7_icsd_050701_1,-3.272,-0.5264,5.0,2.0973,2.9027,0.0640490873276592
LiY2Br7,Li1Y2Br7_icsd_201429_1,-4.233,-0.8084,5.0,1.1873,3.8127,0.0953936517879463
NaSc2Br7,Na1Sc2Br7_icsd_067168_1,-3.971,-0.7522,5.0,1.5187,3.4813,0.1200755657386145
