id,reduced_comp,in_icsd,full_energyperatom,sc_decomp_energy,cond_ion_frac,oxidation,reduction,stability_window,reward
K1Sc1Cl2Br2_icsd_075418_2,KSc(BrCl)2,False,-4.083,0.0655,0.1667,,,,0.2973
Li1Sc1Cd2Br8_icsd_166610_1,LiSc(CdBr4)2,False,-3.049,0.0656,0.0833,,,,0.2857
Li2Sc1B1Br8_icsd_425174_1,Li2ScBBr8,False,-3.604,0.0657,0.1667,,,,0.2973
Li1Hf1Cd1Br6I1_icsd_159098_23,LiHfCdIBr6,False,-3.399,0.0659,0.1,,,,0.288
K2Hg1F4_icsd_069508_1,K2HgF4,False,-3.603,0.0661,0.2857,,,,0.3138
Li2Sc2Cl1Br7_icsd_100030_1,Li2Sc2Br7Cl,False,-3.947,0.0665,0.1667,,,,0.2972
Li2Sc2Br7I1_icsd_100030_1,Li2Sc2IBr7,False,-3.821,0.0665,0.1667,,,,0.2972
Na2Sc1Hg2I9_icsd_075583_1,Na2ScHg2I9,False,-2.372,0.0668,0.1429,,,,0.2939
Li3Al2F1Br8_icsd_412221_1,Li3Al2Br8F,False,-3.51,0.067,0.2143,,,,0.3038
Li1Sc2Zn1Br7I2_icsd_098129_3,LiSc2ZnI2Br7,False,-3.507,0.0672,0.0769,,,,0.2847
Na2Sc2Cl1Br7_icsd_079478_1,Na2Sc2Br7Cl,False,-3.855,0.0673,0.1667,,,,0.2972
K2Sc1F2Br3_icsd_200497_1,K2ScBr3F2,False,-4.433,0.0675,0.25,,,,0.3088
Na1Sc2Al1Br8I2_icsd_422132_1,NaSc2Al(IBr4)2,False,-3.604,0.0675,0.0714,,,,0.2839
K2Al1Cl2Br3_icsd_060621_1,K2AlBr3Cl2,False,-3.384,0.0679,0.25,,,,0.3087
Na1Sc2Zn1I9_icsd_281502_1,NaSc2ZnI9,False,-3.057,0.0679,0.0769,,,,0.2847
K1Hg2Al2Br8P1_icsd_408052_1,KAl2Hg2PBr8,False,-2.88,0.0681,0.0714,,,,0.2839
Li2Hf1F2Br4_icsd_201173_1,Li2Hf(Br2F)2,False,-4.59,0.0681,0.2222,,,,0.3049
K1Sc2Zn1Br9_icsd_281502_1,KSc2ZnBr9,False,-3.589,0.0682,0.0769,,,,0.2847
Na3Sc2F8Cl1_icsd_412221_1,Na3Sc2ClF8,False,-5.49,0.0683,0.2143,,,,0.3037
K1Y1Al1Br6I1_icsd_159097_19,KYAlIBr6,False,-3.641,0.0684,0.1,,,,0.2879
Li1Y2La1Cl2Br8_icsd_408052_1,LiLaY2(Br4Cl)2,False,-4.315,0.0685,0.0714,,,,0.2839
Na2Y1Hg1Br7_icsd_093723_2,Na2YHgBr7,False,-3.151,0.0686,0.1818,,,,0.2992
Li3Sc1La1Br9_icsd_174519_1,Li3LaScBr9,False,-3.819,0.0686,0.2143,,,,0.3037
Na2Hf2Cl1Br9_icsd_093605_2,Na2Hf2Br9Cl,False,-3.954,0.0689,0.1429,,,,0.2938
Na1Y1Al2F2Br8_icsd_422406_2,NaYAl2(Br4F)2,False,-3.912,0.069,0.0714,,,,0.2839
K1Cd1Al1Br6_icsd_036538_5,KAlCdBr6,False,-2.897,0.0691,0.1111,,,,0.2894
Li1Sc1Zn1Br6_icsd_164941_1,LiScZnBr6,False,-3.374,0.0693,0.1111,,,,0.2894
Li1La1Al1Br7_icsd_085712_1,LiLaAlBr7,False,-3.663,0.0694,0.1,,,,0.2878
Li1Y1La1Br6I1_icsd_159098_19,LiLaYIBr6,False,-4.06,0.0694,0.1,,,,0.2878
Li2Sc1Zn2Br8I1_icsd_072364_3,Li2ScZn2IBr8,False,-3.103,0.0694,0.1429,,,,0.2938
Na3Sc1Zn1I8_icsd_069143_2,Na3ScZnI8,False,-2.783,0.0695,0.2308,,,,0.306
K2Sc1Cd2I9_icsd_075583_1,K2ScCd2I9,False,-2.615,0.0696,0.1429,,,,0.2938
Na1Y2Zn1Br9_icsd_281502_1,NaY2ZnBr9,False,-3.726,0.0696,0.0769,,,,0.2846
Na3Sc1Cd1I8_icsd_040534_1,Na3ScCdI8,False,-2.764,0.0696,0.2308,,,,0.306
Li1Sc1Y1Cl1Br6_icsd_159098_19,LiYScBr6Cl,False,-4.161,0.0698,0.1,,,,0.2878
Na1Sc1F1I3_icsd_082802_3,NaScI3F,False,-3.926,0.07,0.1667,,,,0.297
K1Sc1Br2I2_icsd_075418_2,KSc(IBr)2,False,-3.585,0.07,0.1667,,,,0.297
Li1Sc1F3Br1_icsd_420301_3,LiScBrF3,False,-5.47,0.07,0.1667,,,,0.297
Li4Hf1Br8_icsd_633326_1,Li4HfBr8,False,-3.686,0.0701,0.3077,,,,0.3594
Na1Sc1Al1Cl1Br6_icsd_159097_19,NaScAlBr6Cl,False,-3.641,0.0703,0.1,,,,0.2878
K1Y1Br2I2_icsd_075418_2,KY(IBr)2,False,-3.77,0.0704,0.1667,,,,0.297
Li1Sc1Zn2Br8_icsd_166610_1,LiSc(ZnBr4)2,False,-3.119,0.0704,0.0833,,,,0.2854
Na2Y1Al1Br8_icsd_161847_1,Na2YAlBr8,False,-3.575,0.0705,0.1667,,,,0.297
Na2Sc1Cd1Br7_icsd_093723_1,Na2ScCdBr7,False,-3.222,0.0705,0.1818,,,,0.2991
K1Y1F1Br3_icsd_010470_3,KYBr3F,False,-4.549,0.0707,0.1667,,,,0.297
K2Sc1Cl1Br4_icsd_412955_1,K2ScBr4Cl,False,-3.745,0.0707,0.25,,,,0.3086
K2Y1Hf1Br7I2_icsd_071263_3,K2YHfI2Br7,False,-3.907,0.071,0.1538,,,,0.2952
Li2Cd2Al1Br9_icsd_075583_1,Li2AlCd2Br9,False,-2.813,0.0712,0.1429,,,,0.2937
K1Sc2Zn1I9_icsd_281502_1,KSc2ZnI9,False,-3.089,0.0712,0.0769,,,,0.2845
K3Sc1W1N4_icsd_182574_1,K3ScWN4,False,-6.338,0.0715,0.3333,,,,0.3664
Li4Hf1F1Br7_icsd_262842_2,Li4HfBr7F,False,-3.929,0.0715,0.3077,,,,0.3593
K2Sc2Br1I7_icsd_079478_1,K2Sc2I7Br,False,-3.393,0.0715,0.1667,,,,0.297
K1Sc1Cl1I3_icsd_249402_1,KScI3Cl,False,-3.579,0.0716,0.1667,,,,0.2969
Li1Sc1F1Br3_icsd_082802_3,LiScBr3F,False,-4.409,0.0717,0.1667,,,,0.2969
K1Sc1Zn2Br7I1_icsd_166998_2,KScZn2IBr7,False,-3.05,0.0717,0.0833,,,,0.2854
K1Zn2Al1Br8_icsd_428005_1,KAl(ZnBr4)2,False,-2.797,0.0719,0.0833,,,,0.2854
Na3Y2Br8I1_icsd_412221_1,Na3Y2IBr8,False,-3.776,0.0719,0.2143,,,,0.3035
Li1Sc1Y1F1Br6_icsd_159098_19,LiYScBr6F,False,-4.407,0.0721,0.1,,,,0.2877
Na3Sc1Hg1I8_icsd_040534_1,Na3ScHgI8,False,-2.647,0.0722,0.2308,,,,0.3058
Na4Hf1Cl1Br7_icsd_421546_2,Na4HfBr7Cl,False,-3.572,0.0723,0.3077,,,,0.3592
Na1Sc1Al1Br6I1_icsd_159097_19,NaScAlIBr6,False,-3.495,0.0724,0.1,,,,0.2876
Na1Cd1Al1Br6_icsd_152300_3,NaAlCdBr6,False,-2.861,0.0724,0.1111,,,,0.2892
Na2Sc1Br4I1_icsd_202983_1,Na2ScIBr4,False,-3.501,0.0725,0.25,,,,0.3085
K3Sc1Br4I2_icsd_252073_1,K3Sc(IBr2)2,False,-3.396,0.0726,0.3,,,,0.3571
K2Y1Cd2Br9_icsd_075583_1,K2YCd2Br9,False,-3.116,0.0726,0.1429,,,,0.2936
K1Sc3Cl2I8_icsd_067711_1,KSc3(I4Cl)2,False,-3.57,0.0729,0.0714,,,,0.2836
Li1Y1Hg1Br5I1_icsd_420040_24,LiYHgIBr5,False,-3.183,0.0729,0.1111,,,,0.2892
Li1Al3Br6S2_icsd_412467_1,LiAl3(SBr3)2,False,-3.711,0.0732,0.0833,,,,0.2853
