id,reduced_comp,in_icsd,num_atoms,relaxed_volume,predicted_energy,vol_energyperatom,full_energyperatom,predicted_decomp,decomp_energy,sc_decomp_energy,mv_id,Formula,E_hull-m (eV/atom),Final M3GNet energy (eV),Form. Energy E_f (eV/atom),Band Gap E_g (eV),Bulk Modulus K (GPa),Shear Modulus G (GPa),Metal Prob.
K3Y1Br6_icsd_062035_1,K3YBr6,False,20,837.5,-3.7244,-3.727,-3.727,-0.8855,-0.8881,-0.0135,mv-23078012,K3YBr6,-0.017,-76.048,-1.841,3.974,15.8,8.1,0.0
Li1Sc3F8Cl2_icsd_067711_1,LiSc3(ClF4)2,False,14,200.47,-5.5732,-5.5283,-5.892,-1.1333,-1.4521,-0.0135,,,,,,,,,
Li1Sc3Br7N1_icsd_152554_2,LiSc3Br7N,False,24,780.56,-3.8316,-3.6887,-4.724,-0.3398,-1.2322,-0.0131,,,,,,,,,
K2W2Sn1N6_icsd_020837_1,K2Sn(WN3)2,False,22,448.32,-7.1335,-7.0932,-7.192,-0.1411,-0.1996,-0.013,,,,,,,,,
Li1Hf1Br5_icsd_078012_2,LiHfBr5,False,14,491.83,-3.9584,-3.9578,-3.974,-1.0768,-1.0924,-0.0127,mv-19340993,LiHfBr5,0.058,-118.903,-1.414,3.457,10.6,2.7,0.0
Li1Sc2Y1Cl2Br8_icsd_408052_1,LiYSc2(Br4Cl)2,False,28,1054.03,-3.741,-3.6759,-4.176,-0.749,-1.1842,-0.0126,,,,,,,,,
K1Sc3Cl1Br9_icsd_028012_2,KSc3Br9Cl,False,28,1366.97,-3.8267,-4.0234,-3.805,-1.1705,-1.1488,-0.0124,,,,,,,,,
K3Zn1Al1S4_icsd_182574_2,K3AlZnS4,False,36,997.33,-3.9166,-3.9321,-3.954,-0.142,-0.1794,-0.0124,,,,,,,,,
K1Sc2Y1Br8I2_icsd_408052_1,KYSc2(IBr4)2,False,28,1153.36,-3.687,-3.6009,-3.979,-0.961,-1.2534,-0.0122,,,,,,,,,
K3Sc1Br6_icsd_062035_1,K3ScBr6,False,20,799.7,-3.6101,-3.6079,-3.616,-0.8252,-0.8311,-0.0122,mv-22767146,K3ScBr6,-0.045,-148.709,-1.767,2.937,22.6,8.8,0.0
Li1Hf2Zn1Br11_icsd_081223_1,LiHf2ZnBr11,False,15,472.04,-3.6513,-3.6517,-3.672,-0.9184,-0.9391,-0.0119,mv-5967954,LiHf2ZnBr11,0.118,-59.065,-1.611,2.434,16.7,5.8,0.01
K1Hf1Hg1Br6I1_icsd_159097_20,KHfHgIBr6,False,20,760.25,-3.075,-3.0118,-3.302,-0.45,-0.6763,-0.0119,,,,,,,,,
Li1Hf1F1Br4_icsd_072740_1,LiHfBr4F,False,28,900.27,-4.259,-4.195,-4.513,-0.617,-0.8708,-0.0115,,,,,,,,,
K1Hf1Cl1Br4_icsd_009027_1,KHfBr4Cl,False,28,1009.77,-4.094,-4.0723,-4.158,-0.861,-0.9247,-0.0111,,,,,,,,,
Li1Sc2Cd1Br9_icsd_281502_1,LiSc2CdBr9,False,26,915.82,-3.4423,-3.3879,-3.563,-1.0158,-1.1364,-0.0111,,,,,,,,,
K1Y1Br4_icsd_008097_1,KYBr4,False,24,989.36,-4.0896,-4.0806,-4.088,-1.448,-1.4464,-0.011,mv-31583757,KYBr4,0.026,-50.314,-1.842,3.667,16.8,6.8,0.0
K6Sn2S7_icsd_300236_1,K6Sn2S7,False,30,972.49,-3.9041,-3.9143,-3.917,-0.1223,-0.1352,-0.0097,mv-4836547,K6Sn2S7,-0.012,-117.603,-1.319,2.138,16.1,8.7,0.0
K1Zr1Cl1Br4_icsd_009027_1,KZrBr4Cl,False,28,1018.59,-3.876,-3.8395,-3.925,-0.128,-0.1771,-0.0097,,,,,,,,,
Na1Sc2Zr1F11_icsd_081223_1,NaZrSc2F11,False,15,231.18,-6.2779,-6.2803,-6.322,-1.9369,-1.981,-0.0091,,,,,,,,,
K1Hf1Cd2Br9_icsd_180336_2,KHfCd2Br9,False,26,996.95,-3.0146,-2.9727,-3.224,-0.4394,-0.6487,-0.009,,,,,,,,,
Li1Sc2Cd1I9_icsd_281502_1,LiSc2CdI9,False,26,1167.15,-2.934,-2.8809,-3.068,-0.3623,-0.4963,-0.0089,,,,,,,,,
K1W2N6P1_icsd_380488_1,KP(WN3)2,False,40,767.92,-7.9717,-7.975,-8.006,-0.1175,-0.1519,-0.0086,,,,,,,,,
Na1Y1Br4_icsd_082364_1,NaYBr4,False,12,416.78,-4.0496,-4.0288,-4.03,-0.9643,-0.9447,-0.0076,mv-6008908,NaYBr4,0.039,-49.838,-1.787,3.644,18.2,10.8,0.0
Li1Al2Ge1Br11_icsd_081223_1,LiAl2GeBr11,False,15,731.93,-2.7656,-2.7325,-3.158,-0.3165,-0.7089,-0.0076,,,,,,,,,
K1Al1Br2S1_icsd_424505_1,KAlSBr2,False,30,1121.84,-3.79,-3.7665,-3.845,-0.332,-0.387,-0.007,mv-22509838,KAlSBr2,-0.034,-116.231,-1.552,3.951,15.7,3.9,0.0
Na1Sc2Zr1Br11_icsd_081223_1,NaZrSc2Br11,False,15,504.63,-3.8754,-3.8457,-3.915,-0.8217,-0.8612,-0.0069,,,,,,,,,
Na1Y1Al2Br8I2_icsd_408052_1,NaYAl2(IBr4)2,False,28,1131.43,-3.1625,-3.0581,-3.441,-0.4111,-0.6895,-0.0067,,,,,,,,,
K1Hg1Sn1F7_icsd_201526_2,KSnHgF7,False,40,668.7,-4.1388,-4.1353,-4.147,-0.1266,-0.1348,-0.0066,mv-12432671,KSnHgF7,0.025,-164.538,-2.593,1.893,31.0,18.3,0.0
Na5Sc1I8_icsd_067743_1,Na5ScI8,False,14,545.98,-2.9869,-2.9808,-2.983,-0.4199,-0.4159,-0.0065,,,,,,,,,
K2Hf1W2N6_icsd_020837_1,K2Hf(WN3)2,False,22,454.41,-7.8279,-7.8398,-7.955,-0.2239,-0.351,-0.0062,,,,,,,,,
Li1Y1Br2O1_icsd_193711_3,LiYBr2O,False,10,219.6,-5.436,-5.4052,-5.474,-0.412,-0.4502,-0.0061,mv-22511745,LiYBr2O,0.106,-167.621,-2.409,4.065,33.2,15.8,0.01
K2Zr1W2N6_icsd_020837_1,K2Zr(WN3)2,False,22,456.59,-7.6996,-7.6993,-7.789,-0.2445,-0.334,-0.0058,,,,,,,,,
K1Al3Cl2Br8_icsd_020114_1,KAl3(Br4Cl)2,False,28,1416.53,-2.8974,-2.8703,-3.283,-0.4059,-0.7915,-0.0057,,,,,,,,,
Li1Y1Al2Cl2Br8_icsd_408052_1,LiYAl2(Br4Cl)2,False,28,961.66,-3.306,-3.2334,-3.701,-0.499,-0.8941,-0.0055,,,,,,,,,
K1Al3Cl1Br9_icsd_281588_2,KAl3Br9Cl,False,28,1220.67,-3.148,-3.0759,-3.106,-0.833,-0.791,-0.0049,,,,,,,,,
Li1Sc2Zn1Br9_icsd_281502_1,LiSc2ZnBr9,False,26,892.36,-3.3989,-3.3665,-3.591,-0.9379,-1.1299,-0.0046,,,,,,,,,
K1Y2Zr1Br11_icsd_081223_1,KY2ZrBr11,False,15,573.96,-4.047,-4.0086,-4.1,-1.0909,-1.1439,-0.0045,,,,,,,,,
K3Sc1I6_icsd_062035_1,K3ScI6,False,20,991.98,-3.1549,-3.1657,-3.169,-0.5692,-0.5832,-0.0039,mp-1111693,K3ScI6,0.068,-31.827,-1.333,2.249,9.5,4.8,0.0
K1Y2Al1Br8I2_icsd_408052_1,KY2Al(IBr4)2,False,28,1085.3,-3.341,-3.329,-3.785,-0.659,-1.103,-0.0035,,,,,,,,,
Li2Hg1Ge1O4_icsd_002780_1,Li2HgGeO4,False,16,199.86,-5.084,-5.0804,-5.133,-0.131,-0.1799,-0.0032,mv-25911318,Li2HgGeO4,0.001,-163.966,-1.875,1.47,64.7,31.5,0.09
Li1Sc2Ge1F11_icsd_081223_1,LiSc2GeF11,False,15,201.42,-5.7713,-5.5929,-5.795,-1.1756,-1.1993,-0.0032,,,,,,,,,
K1Y2Al1Cl2Br8_icsd_408052_1,KY2Al(Br4Cl)2,False,28,1045.04,-3.403,-3.3629,-3.968,-0.486,-1.0514,-0.003,,,,,,,,,
Li1Al2Br5I2_icsd_249341_2,LiAl2I2Br5,False,40,1800.75,-2.6581,-2.5962,-3.173,-0.2102,-0.7251,-0.003,,,,,,,,,
K1Hf2Hg1Br11_icsd_067512_1,KHf2HgBr11,False,30,961.9,-3.5226,-3.4895,-3.534,-0.9668,-0.9781,-0.003,mv-5968031,KHf2HgBr11,0.045,-57.49,-1.614,0.0,7.3,3.4,0.17
Na1Sc2Cd1F7O1_icsd_166998_4,NaSc2CdOF7,False,24,314.08,-5.031,-5.0611,-5.829,-0.209,-1.0066,-0.0029,,,,,,,,,
K1Ti1Hg2F9_icsd_180336_2,KTiHg2F9,False,26,420.8,-4.2972,-4.2851,-4.319,-0.1503,-0.1721,-0.0028,,,,,,,,,
Li1Y3Cl1Br9_icsd_010384_2,LiY3Br9Cl,False,28,1416.44,-3.9654,-3.935,-3.979,-1.1705,-1.1842,-0.0028,,,,,,,,,
